time_s,time_us,temperature,seq,srcSystem,srcComponent,time_gregorian,log_timestamp,log_timestamp_gregorian
1601805337,279623,-5.375,0,20,4,2020-10-04T12:55:37,1601679282.997644,2020-10-03T01:54:42
1601805351,254063,-6.125,45,20,4,2020-10-04T12:55:51,1601679297.463297,2020-10-03T01:54:57
1601805368,274987,-4.75,83,20,4,2020-10-04T12:56:08,1601679314.9411879,2020-10-03T01:55:14
1601805382,274984,-4.125,127,20,4,2020-10-04T12:56:22,1601679328.480397,2020-10-03T01:55:28
1601805396,289304,-4.75,173,20,4,2020-10-04T12:56:36,1601679346.5221798,2020-10-03T01:55:46
1601805414,276505,-5.4375,217,20,4,2020-10-04T12:56:54,1601679360.492588,2020-10-03T01:56:00
1601805427,276493,-4.125,6,20,4,2020-10-04T12:57:07,1601679378.0231318,2020-10-03T01:56:18
1601805445,238881,-3.3125,48,20,4,2020-10-04T12:57:25,1601679392.014252,2020-10-03T01:56:32
1601805463,282032,-4.125,94,20,4,2020-10-04T12:57:43,1601679409.0520449,2020-10-03T01:56:49
1601805476,228251,-4.625,138,20,4,2020-10-04T12:57:56,1601679423.069468,2020-10-03T01:57:03
1601805494,271325,-5.0625,186,20,4,2020-10-04T12:58:14,1601679440.915997,2020-10-03T01:57:20
1601805508,273544,-4.6875,235,20,4,2020-10-04T12:58:28,1601679454.824285,2020-10-03T01:57:34
1601805558,249151,-4.5,83,20,4,2020-10-04T12:59:18,1601679503.837188,2020-10-03T01:58:23
1601805572,270235,-4.6875,120,20,4,2020-10-04T12:59:32,1601679518.200692,2020-10-03T01:58:38
1601805585,285303,-4.75,157,20,4,2020-10-04T12:59:45,1601679532.0110168,2020-10-03T01:58:52
1601805603,292468,-4.875,206,20,4,2020-10-04T13:00:03,1601679549.474468,2020-10-03T01:59:09
1601805635,240999,-4.8125,23,20,4,2020-10-04T13:00:35,1601679580.1922128,2020-10-03T01:59:40
1601805648,269830,-4.8125,65,20,4,2020-10-04T13:00:48,1601679594.8698769,2020-10-03T01:59:54
1601805666,271678,-4.75,101,20,4,2020-10-04T13:01:06,1601679612.287096,2020-10-03T02:00:12
1601805680,269481,-4.6875,144,20,4,2020-10-04T13:01:20,1601679629.08992,2020-10-03T02:00:29
1601805698,265692,-4.625,173,20,4,2020-10-04T13:01:38,1601679644.188473,2020-10-03T02:00:44
1601805711,265679,-4.5625,212,20,4,2020-10-04T13:01:51,1601679658.053433,2020-10-03T02:00:58
1601805742,266131,-4.5,20,20,4,2020-10-04T13:02:22,1601679688.99842,2020-10-03T02:01:28
1601805756,265911,-4.4375,65,20,4,2020-10-04T13:02:36,1601679706.687641,2020-10-03T02:01:46
1601805774,264307,-4.4375,109,20,4,2020-10-04T13:02:54,1601679720.462653,2020-10-03T02:02:00
