time_s,time_us,gps_init_error,gps_config_error,lsm6ds3_error,lis3mdl_error,analog_sensor_init_error,gps_uart_init_error,mems_i2c_error,uart_transfer_init_error,uart_transfer_error,timers_error,rtc_error,mems_i2c_error_counter,lsm6ds3_error_counter,lis3mdl_error_counter,gps_reconfig_counter,reset_counter,seq,srcSystem,srcComponent,time_gregorian,log_timestamp,log_timestamp_gregorian
1601801092,965000,0,0,0,44,0,0,44,0,0,0,-88,3,0,3,0,7,244,11,0,2020-10-04T11:44:52,1601675038.409652,2020-10-03T00:43:58
1601801124,734000,0,0,0,44,0,0,44,0,0,0,-88,3,0,3,0,7,82,11,0,2020-10-04T11:45:24,1601675070.418421,2020-10-03T00:44:30
1601801156,504000,0,0,0,44,0,0,44,0,0,0,-88,3,0,3,0,7,175,11,0,2020-10-04T11:45:56,1601675102.709468,2020-10-03T00:45:02
1601801188,271000,0,0,0,44,0,0,44,0,0,0,-88,3,0,3,0,7,9,11,0,2020-10-04T11:46:28,1601675134.595996,2020-10-03T00:45:34
1601801215,62000,0,0,0,44,0,0,44,0,0,0,-88,149,0,149,0,7,96,11,0,2020-10-04T11:46:55,1601675163.257233,2020-10-03T00:46:03
1601801252,675000,0,0,0,44,0,0,44,0,0,0,-88,629,0,629,0,7,192,11,0,2020-10-04T11:47:32,1601675198.693312,2020-10-03T00:46:38
1601801283,233000,0,0,0,44,0,0,44,0,0,0,-88,1019,0,1019,0,7,30,11,0,2020-10-04T11:48:03,1601675230.63932,2020-10-03T00:47:10
1601801316,99000,0,0,0,44,0,0,44,0,0,0,-88,1181,0,1181,0,7,122,11,0,2020-10-04T11:48:36,1601675262.451917,2020-10-03T00:47:42
1601801345,138000,0,0,0,44,0,0,44,0,0,0,-88,1181,0,1181,0,7,208,11,0,2020-10-04T11:49:05,1601675291.330317,2020-10-03T00:48:11
1601801379,703000,0,0,0,44,0,0,44,0,0,0,-88,1181,0,1181,0,7,44,11,0,2020-10-04T11:49:39,1601675326.063609,2020-10-03T00:48:46
1601801411,507000,0,0,0,44,0,0,44,0,0,0,-88,1181,0,1181,0,7,135,11,0,2020-10-04T11:50:11,1601675357.459612,2020-10-03T00:49:17
1601801439,136000,0,0,0,44,0,0,44,0,0,0,-88,1181,0,1181,0,7,223,11,0,2020-10-04T11:50:39,1601675386.1965718,2020-10-03T00:49:46
1601801472,318000,0,0,0,44,0,0,44,0,0,0,-88,1181,0,1181,0,7,62,11,0,2020-10-04T11:51:12,1601675419.1364489,2020-10-03T00:50:19
1601801504,84000,0,0,0,44,0,0,44,0,0,0,-88,1181,0,1181,0,7,152,11,0,2020-10-04T11:51:44,1601675450.534261,2020-10-03T00:50:50
1601801540,12000,0,0,0,44,0,0,44,0,0,0,-88,1181,0,1181,0,7,249,11,0,2020-10-04T11:52:20,1601675485.5675719,2020-10-03T00:51:25
1601801567,666000,0,0,0,44,0,0,44,0,0,0,-88,1181,0,1181,0,7,81,11,0,2020-10-04T11:52:47,1601675513.981148,2020-10-03T00:51:53
1601801599,516000,0,0,0,44,0,0,44,0,0,0,-88,1181,0,1181,0,7,173,11,0,2020-10-04T11:53:19,1601675546.031328,2020-10-03T00:52:26
1601801630,31000,0,0,0,44,0,0,44,0,0,0,-88,1181,0,1181,0,7,11,11,0,2020-10-04T11:53:50,1601675580.433657,2020-10-03T00:53:00
1601801661,955000,0,0,0,44,0,0,44,0,0,0,-88,1181,0,1181,0,7,99,11,0,2020-10-04T11:54:21,1601675609.140677,2020-10-03T00:53:29
1601801693,960000,0,0,0,-14,0,0,-14,0,0,0,-88,1182,0,1182,0,7,188,11,0,2020-10-04T11:54:53,1601675640.9114249,2020-10-03T00:54:00
1601801725,501000,0,0,-14,44,0,0,44,0,0,0,-88,1353,3,1351,0,7,26,11,0,2020-10-04T11:55:25,1601675672.5713038,2020-10-03T00:54:32
1601801757,163000,0,0,-14,44,0,0,44,0,0,0,-88,1594,11,1589,0,7,120,11,0,2020-10-04T11:55:57,1601675703.958768,2020-10-03T00:55:03
1601801787,729000,0,0,-14,44,0,0,44,0,0,0,-88,1841,13,1835,0,7,210,11,0,2020-10-04T11:56:27,1601675735.074285,2020-10-03T00:55:35
1601801819,452000,0,0,-116,44,0,0,44,0,0,0,-88,2072,15,2066,0,7,43,11,0,2020-10-04T11:56:59,1601675769.347817,2020-10-03T00:56:09
1601801884,98000,0,0,-116,-14,0,0,-116,0,0,0,-88,2640,32,2639,0,7,216,11,0,2020-10-04T11:58:04,1601675830.5654209,2020-10-03T00:57:10
1601801947,308000,0,0,-116,44,0,0,44,0,0,0,-88,3234,52,3233,0,7,144,11,0,2020-10-04T11:59:07,1601675896.5212119,2020-10-03T00:58:16
