time_s,time_us,accel[0],accel[1],accel[2],compass[0],compass[1],compass[2],quaternion[0],quaternion[1],quaternion[2],quaternion[3],seq,srcSystem,srcComponent,time_gregorian,log_timestamp,log_timestamp_gregorian
1601800043,913000,10.07550048828125,4.124893665313721,-1.8192665576934814,-191.7007598876953,63.70543670654297,-209.234375,-0.5868095755577087,-0.02258223667740822,-0.7559933066368103,-0.28916922211647034,8,11,0,2020-10-04T11:27:23,1601673970.7258239,2020-10-03T00:26:10
1601800061,593000,-0.11285429447889328,-0.636580765247345,11.152271270751953,-182.9339599609375,27.469316482543945,-209.234375,-0.09706225991249084,0.00473289517685771,-0.024994850158691406,0.9949530959129333,57,11,0,2020-10-04T11:27:41,1601673988.446568,2020-10-03T00:26:28
1601800074,140000,-3.715384006500244,4.463916778564453,-9.49432373046875,-163.0625457763672,-10.520163536071777,-198.12974548339844,-0.03629600629210472,-0.4108712375164032,0.8662014007568359,0.2820681929588318,102,11,0,2020-10-04T11:27:54,1601674005.6156728,2020-10-03T00:26:45
1601800092,113000,7.9920759201049805,1.7329812049865723,-7.401841640472412,-138.51548767089844,-27.469316482543945,-190.53184509277344,-0.434081107378006,0.11297925561666489,-0.8925763964653015,-0.04600725322961807,150,11,0,2020-10-04T11:28:12,1601674022.9849758,2020-10-03T00:27:02
1601800110,91000,0.3560556173324585,-7.200103759765625,-8.517760276794434,-135.5932159423828,12.857977867126465,-205.72764587402344,0.2927296459674835,0.6264223456382751,0.6843631863594055,-0.23141197860240936,190,11,0,2020-10-04T11:28:30,1601674037.68764,2020-10-03T00:27:17
1601800124,188000,1.7395625114440918,-3.2934248447418213,-10.43085765838623,-224.43016052246094,70.71887969970703,-205.14320373535156,-0.13608601689338684,-0.21775954961776733,-0.9502056241035461,0.17655202746391296,236,11,0,2020-10-04T11:28:44,1601674052.056788,2020-10-03T00:27:32
1601800124,464000,-0.014693493023514748,0.3578227460384369,10.867631912231445,-195.79193115234375,21.624780654907227,-202.8053741455078,0.0573645681142807,-0.036684539169073105,-0.03914022073149681,-0.9969109892845154,28,11,0,2020-10-04T11:28:44,1601674069.826248,2020-10-03T00:27:49
1601800137,744000,0.16865606606006622,-0.0641486793756485,11.113329887390137,-252.4839324951172,-8.766802787780762,-173.58270263671875,0.056078825145959854,-0.021707545965909958,-0.084527388215065,-0.9946050643920898,70,11,0,2020-10-04T11:28:57,1601674083.606833,2020-10-03T00:28:03
1601800156,269000,-0.004164710640907288,0.4668918550014496,11.221641540527344,-244.30157470703125,126.2419662475586,-187.60958862304688,0.2523633539676666,-0.02674274519085884,-0.053354162722826004,-0.9657902717590332,117,11,0,2020-10-04T11:29:16,1601674101.689364,2020-10-03T00:28:21
1601800169,528000,-0.002300560474395752,0.5660133957862854,11.17596435546875,18.702512741088867,139.09994506835938,-211.5721893310547,0.6907256841659546,0.1249440610408783,-0.10728240758180618,-0.7041146755218506,161,11,0,2020-10-04T11:29:29,1601674115.48184,2020-10-03T00:28:35
1601800187,756000,-0.08135011792182922,0.4998154044151306,11.034661293029785,-174.75160217285156,21.040327072143555,-195.79193115234375,0.2278902232646942,0.04481137916445732,-0.21143236756324768,-0.9493968486785889,212,11,0,2020-10-04T11:29:47,1601674133.444964,2020-10-03T00:28:53
1601800200,750000,0.035947322845458984,-0.4513419568538666,11.043320655822754,-136.7621307373047,-91.17475128173828,-191.11630249023438,0.14289887249469757,0.05449597164988518,-0.2795790731906891,-0.947863757610321,0,11,0,2020-10-04T11:30:00,1601674149.887284,2020-10-03T00:29:09
1601800219,233000,0.1015406996011734,0.6440384984016418,11.253316879272461,-208.64991760253906,-48.5096435546875,-182.34950256347656,0.078745037317276,-0.007709826342761517,-0.2535625100135803,-0.9640777111053467,46,11,0,2020-10-04T11:30:19,1601674165.2109208,2020-10-03T00:29:25
1601800233,304000,-0.041015446186065674,0.1808868944644928,10.966334342956543,-153.71127319335938,-182.9339599609375,-139.68438720703125,-0.08952070027589798,-0.0322876013815403,-0.3843693137168884,-0.9182612895965576,88,11,0,2020-10-04T11:30:33,1601674179.1768,2020-10-03T00:29:39
1601800251,239000,-0.043174415826797485,0.47808852791786194,11.215116500854492,-190.53184509277344,-171.829345703125,-123.31969451904297,-0.08500225841999054,-0.09267087280750275,-0.386989027261734,-0.9134693145751953,137,11,0,2020-10-04T11:30:51,1601674196.688925,2020-10-03T00:29:56
1601800264,506000,-0.05633169412612915,-0.43900859355926514,10.694579124450684,-180.01168823242188,-163.0625457763672,-132.0865020751953,-0.08406265825033188,-0.05061949044466019,-0.32274141907691956,-0.9413868188858032,185,11,0,2020-10-04T11:31:04,1601674213.363968,2020-10-03T00:30:13
1601800282,437000,-0.0005054473876953125,0.48747867345809937,10.860758781433105,-170.66043090820312,-217.41671752929688,-111.04617309570312,-0.19243675470352173,-0.07987934350967407,-0.3780006766319275,-0.9020548462867737,233,11,0,2020-10-04T11:31:22,1601674228.18542,2020-10-03T00:30:28
1601800300,81000,-0.011024534702301025,-0.058102577924728394,11.66479206085205,-196.3763885498047,-267.09527587890625,-57.86090087890625,-0.16927474737167358,-0.11043677479028702,-0.4651300609111786,-0.8618606925010681,21,11,0,2020-10-04T11:31:40,1601674245.422149,2020-10-03T00:30:45
1601800314,691000,0.616791844367981,0.21397903561592102,11.059404373168945,-142.60665893554688,-217.41671752929688,-112.21508026123047,-0.17341749370098114,-0.07477973401546478,-0.4096611440181732,-0.8924753069877625,67,11,0,2020-10-04T11:31:54,1601674260.596693,2020-10-03T00:31:00
1601800328,207000,0.15010574460029602,-0.47276097536087036,10.912400245666504,-134.42431640625,-173.58270263671875,-151.95791625976562,-0.09193900972604752,-0.03989775851368904,-0.31766924262046814,-0.9428900480270386,111,11,0,2020-10-04T11:32:08,1601674274.296428,2020-10-03T00:31:14
1601800346,982000,-0.010333359241485596,-0.3424539268016815,11.262921333312988,-150.78900146484375,-198.12974548339844,-115.13734436035156,-0.25049784779548645,-0.010658823885023594,-0.27416616678237915,-0.9284235239028931,158,11,0,2020-10-04T11:32:26,1601674292.890528,2020-10-03T00:31:32
1601800360,198000,0.012570381164550781,0.1780209243297577,10.044609069824219,-195.2074737548828,-122.73523712158203,-151.3734588623047,-0.14819549024105072,-0.006296723615378141,-0.22054916620254517,-0.9640313386917114,202,11,0,2020-10-04T11:32:40,1601674309.389989,2020-10-03T00:31:49
1601800378,124000,-0.010886907577514648,0.7047128677368164,8.962005615234375,104.6171875,-247.80828857421875,-60.783164978027344,-0.7282939553260803,-0.031323742121458054,-0.3746403455734253,-0.5729321241378784,247,11,0,2020-10-04T11:32:58,1601674324.196677,2020-10-03T00:32:04
1601800396,624000,-0.09460772573947906,0.47533118724823,10.874227523803711,70.71887969970703,-8.18234920501709,-184.1028594970703,0.4703713357448578,0.25396600365638733,0.004361151251941919,-0.8451231122016907,39,11,0,2020-10-04T11:33:16,1601674342.383973,2020-10-03T00:32:22
1601800410,125000,0.27533966302871704,-0.2153448462486267,11.09463882446289,33.8983039855957,26.3004093170166,-209.234375,0.39368903636932373,0.19713789224624634,-0.010068458504974842,-0.8977996706962585,86,11,0,2020-10-04T11:33:30,1601674356.3631399,2020-10-03T00:32:36
1601800424,171000,-0.38102346658706665,1.1290545463562012,11.239937782287598,32.72939682006836,-21.624780654907227,-207.48101806640625,0.11651314795017242,0.19933167099952698,-0.039897140115499496,-0.9721624851226807,131,11,0,2020-10-04T11:33:44,1601674370.4008648,2020-10-03T00:32:50
1601800442,350000,-0.07569553703069687,-0.2489909529685974,10.576369285583496,-14.61133861541748,-38.57393264770508,-192.86965942382812,-0.06380981206893921,0.11540727317333221,-0.04363173991441727,-0.9903059005737305,180,11,0,2020-10-04T11:34:02,1601674388.3482208,2020-10-03T00:33:08
1601800460,265000,-0.03640620410442352,0.32063400745391846,11.097952842712402,-137.9310302734375,37.989479064941406,-208.64991760253906,0.21244081854820251,0.07854801416397095,-0.09678701311349869,-0.9691911339759827,223,11,0,2020-10-04T11:34:20,1601674405.597441,2020-10-03T00:33:25
