time_s,time_us,red_sensor_raw,co_conc,ox_sensor_raw,no2_conc,nh3_sensor_raw,nh3_conc,seq,srcSystem,srcComponent,time_gregorian,log_timestamp,log_timestamp_gregorian
1601800045,594000,1.170643925666809,2.616938591003418,1.7975544929504395,0.2864334285259247,0.7051042914390564,1.2623475790023804,16,13,0,2020-10-04T11:27:25,1601673974.951673,2020-10-03T00:26:14
1601800059,675000,1.1872526407241821,2.5713160037994385,1.83641517162323,0.29246872663497925,0.7218352556228638,1.2088909149169922,64,13,0,2020-10-04T11:27:39,1601673991.515749,2020-10-03T00:26:31
1601800076,675000,1.1824792623519897,2.5842807292938232,1.8784021139144897,0.2989859879016876,0.7165400981903076,1.2254257202148438,110,13,0,2020-10-04T11:27:56,1601674009.42062,2020-10-03T00:26:49
1601800094,824000,1.2476155757904053,2.416952133178711,1.9683884382247925,0.3129415512084961,0.8042967319488525,0.9901653528213501,155,13,0,2020-10-04T11:28:14,1601674024.2073848,2020-10-03T00:27:04
1601800114,112000,1.1101651191711426,2.796102285385132,1.9748775959014893,0.31394731998443604,0.7549507021903992,1.112868070602417,200,13,0,2020-10-04T11:28:34,1601674041.970353,2020-10-03T00:27:21
1601800128,112000,1.1647779941558838,2.63340163230896,2.0077552795410156,0.3190416991710663,0.7783955335617065,1.051810622215271,242,13,0,2020-10-04T11:28:48,1601674056.0247838,2020-10-03T00:27:36
1601800141,227000,1.1729998588562012,2.6103787422180176,1.9813953638076782,0.3149574100971222,0.7560959458351135,1.1097599267959595,33,13,0,2020-10-04T11:29:01,1601674070.344529,2020-10-03T00:27:50
1601800159,227000,1.137093424797058,2.7136828899383545,2.027834415435791,0.32215195894241333,0.7771957516670227,1.054808497428894,76,13,0,2020-10-04T11:29:19,1601674087.20728,2020-10-03T00:28:07
1601800172,844000,1.1450884342193604,2.6900501251220703,2.064202070236206,0.3277832865715027,0.7980049848556519,1.0046175718307495,122,13,0,2020-10-04T11:29:32,1601674102.209405,2020-10-03T00:28:22
1601800190,844000,1.193251371383667,2.5551886558532715,2.099102020263672,0.33318501710891724,0.8236613869667053,0.947640061378479,168,13,0,2020-10-04T11:29:50,1601674119.804561,2020-10-03T00:28:39
1601800207,464000,1.0915316343307495,2.855816602706909,2.101457118988037,0.33354946970939636,0.8068358302116394,0.9844235777854919,217,13,0,2020-10-04T11:30:07,1601674136.712985,2020-10-03T00:28:56
1601800221,464000,1.0839624404907227,2.8807334899902344,2.106177806854248,0.3342799246311188,0.7980049848556519,1.0046175718307495,6,13,0,2020-10-04T11:30:21,1601674150.9930918,2020-10-03T00:29:10
1601800235,84000,1.1101651191711426,2.796102285385132,2.1038155555725098,0.3339143991470337,0.7736141085624695,1.063836693763733,52,13,0,2020-10-04T11:30:35,1601674168.141681,2020-10-03T00:29:28
1601800249,84000,1.0184258222579956,3.113978385925293,2.080390214920044,0.3302891254425049,0.7380980849266052,1.160202980041504,92,13,0,2020-10-04T11:30:49,1601674182.163348,2020-10-03T00:29:42
1601800266,707000,1.10354745388031,2.8170502185821533,2.1038155555725098,0.3339143991470337,0.7549507021903992,1.112868070602417,141,13,0,2020-10-04T11:31:06,1601674197.201845,2020-10-03T00:29:57
1601800283,707000,1.0295441150665283,3.0720529556274414,2.1038155555725098,0.3339143991470337,0.7380980849266052,1.160202980041504,190,13,0,2020-10-04T11:31:23,1601674214.717093,2020-10-03T00:30:14
1601800301,331000,1.012416958808899,3.137068033218384,2.1109132766723633,0.33501264452934265,0.7337049245834351,1.1730530261993408,240,13,0,2020-10-04T11:31:41,1601674232.4782798,2020-10-03T00:30:32
1601800314,331000,1.1090589761734009,2.799584150314331,2.127601385116577,0.3375944197177887,0.745887279510498,1.1379467248916626,25,13,0,2020-10-04T11:31:54,1601674246.248137,2020-10-03T00:30:46
1601800332,955000,1.066882848739624,2.938419818878174,2.1517555713653564,0.3413303792476654,0.7470106482505798,1.134791374206543,74,13,0,2020-10-04T11:32:12,1601674264.709776,2020-10-03T00:31:04
1601800346,955000,1.0904467105865479,2.8593642711639404,2.183720827102661,0.34627285599708557,0.767703115940094,1.0789992809295654,117,13,0,2020-10-04T11:32:26,1601674277.833164,2020-10-03T00:31:17
1601800364,579000,1.0595059394836426,2.9639828205108643,2.161522388458252,0.3428407311439514,0.7369958162307739,1.1634066104888916,164,13,0,2020-10-04T11:32:44,1601674296.154156,2020-10-03T00:31:36
1601800378,579000,0.9868230223655701,3.238964796066284,2.1420490741729736,0.3398291766643524,0.720771312713623,1.2121855020523071,207,13,0,2020-10-04T11:32:58,1601674310.743345,2020-10-03T00:31:50
1601800396,204000,0.9544053673744202,3.376882314682007,2.106177806854248,0.3342799246311188,0.6649048924446106,1.406752109527588,254,13,0,2020-10-04T11:33:16,1601674328.630652,2020-10-03T00:32:08
1601800410,204000,1.0418263673782349,3.0269064903259277,2.1109132766723633,0.33501264452934265,0.6821004152297974,1.3420159816741943,42,13,0,2020-10-04T11:33:30,1601674342.402072,2020-10-03T00:32:22
1601800427,827000,0.8713558316230774,3.7833282947540283,2.09440279006958,0.3324578106403351,0.6421159505844116,1.5002497434616089,93,13,0,2020-10-04T11:33:47,1601674360.7127728,2020-10-03T00:32:40
1601800440,827000,1.077521800994873,2.902245283126831,2.120427370071411,0.3364846110343933,0.6860158443450928,1.327917456626892,139,13,0,2020-10-04T11:34:00,1601674374.499697,2020-10-03T00:32:54
1601800459,447000,1.0356650352478027,3.049403667449951,2.1372182369232178,0.3390820026397705,0.7123480439186096,1.2387646436691284,186,13,0,2020-10-04T11:34:19,1601674392.061964,2020-10-03T00:33:12
1601800472,447000,1.0584566593170166,2.9676513671875,2.191190004348755,0.34742748737335205,0.7607049345970154,1.0973855257034302,225,13,0,2020-10-04T11:34:32,1601674405.610076,2020-10-03T00:33:25
1601800490,69000,0.8428866267204285,3.9435179233551025,2.168887138366699,0.34397950768470764,0.6850336790084839,1.3314324617385864,17,13,0,2020-10-04T11:34:50,1601674424.040176,2020-10-03T00:33:44
1601800503,69000,0.9887664914131165,3.2310190200805664,2.130000114440918,0.3379654884338379,0.6593226194381714,1.4288067817687988,62,13,0,2020-10-04T11:35:03,1601674437.271613,2020-10-03T00:33:57
1601800520,691000,0.9078866243362427,3.5942444801330566,2.161522388458252,0.3428407311439514,0.6753318309783936,1.3669384717941284,108,13,0,2020-10-04T11:35:20,1601674455.579661,2020-10-03T00:34:15
1601800534,691000,0.8824981451034546,3.7237892150878906,2.221421957015991,0.3520998954772949,0.6969667077064514,1.2896761894226074,155,13,0,2020-10-04T11:35:34,1601674469.266156,2020-10-03T00:34:29
1601800552,313000,0.9839154481887817,3.25091814994812,2.2367541790008545,0.3544689118862152,0.7092292308807373,1.2488343715667725,203,13,0,2020-10-04T11:35:52,1601674486.960865,2020-10-03T00:34:46
1601800565,313000,1.0144156217575073,3.1293537616729736,2.2188806533813477,0.35170719027519226,0.7010169625282288,1.2759612798690796,247,13,0,2020-10-04T11:36:05,1601674503.9510849,2020-10-03T00:35:03
1601800582,936000,0.9858527779579163,3.2429447174072266,2.2731051445007324,0.3600839674472809,0.7392028570175171,1.1570056676864624,32,13,0,2020-10-04T11:36:22,1601674518.751093,2020-10-03T00:35:18
1601800596,936000,1.0469918251037598,3.008275032043457,2.270481586456299,0.3596787750720978,0.7282715439796448,1.1892517805099487,78,13,0,2020-10-04T11:36:36,1601674535.8707678,2020-10-03T00:35:35
1601800614,558000,1.036689043045044,3.0456438064575195,2.3210630416870117,0.36748847365379333,0.7771957516670227,1.054808497428894,127,13,0,2020-10-04T11:36:54,1601674550.912636,2020-10-03T00:35:50
1601800628,180000,0.9676130414009094,3.319437265396118,2.3210630416870117,0.36748847365379333,0.7618642449378967,1.094306468963623,171,13,0,2020-10-04T11:37:08,1601674564.701501,2020-10-03T00:36:04
1601800646,180000,0.8273875117301941,4.035953044891357,2.2995755672454834,0.3641713559627533,0.707162082195282,1.2555782794952393,216,13,0,2020-10-04T11:37:26,1601674583.193605,2020-10-03T00:36:23
1601800659,803000,0.9069986343383789,3.5986380577087402,2.270481586456299,0.3596787750720978,0.6969667077064514,1.2896761894226074,6,13,0,2020-10-04T11:37:39,1601674599.9448,2020-10-03T00:36:39
1601800677,803000,0.9423133730888367,3.4310648441314697,2.270481586456299,0.3596787750720978,0.6959599256515503,1.2931206226348877,53,13,0,2020-10-04T11:37:57,1601674615.119829,2020-10-03T00:36:55
1601800691,425000,0.9848835468292236,3.246929407119751,2.281001567840576,0.3613033890724182,0.707162082195282,1.2555782794952393,96,13,0,2020-10-04T11:38:11,1601674631.879196,2020-10-03T00:37:11
1601800709,425000,0.9790900945663452,3.2709319591522217,2.270481586456299,0.3596787750720978,0.6830759644508362,1.3384816646575928,140,13,0,2020-10-04T11:38:29,1601674646.461468,2020-10-03T00:37:26
1601800722,47000,0.9114475846290588,3.5767223834991455,2.281001567840576,0.3613033890724182,0.6979758143424988,1.2862380743026733,190,13,0,2020-10-04T11:38:42,1601674663.633344,2020-10-03T00:37:43
1601800741,47000,1.0134156942367554,3.133208990097046,2.326478958129883,0.3683244287967682,0.7380980849266052,1.160202980041504,235,13,0,2020-10-04T11:39:01,1601674678.511112,2020-10-03T00:37:58
1601800754,669000,0.9839154481887817,3.25091814994812,2.359349250793457,0.37339693307876587,0.7572441101074219,1.1066572666168213,25,13,0,2020-10-04T11:39:14,1601674693.004969,2020-10-03T00:38:13
1601800772,669000,1.0346421003341675,3.0531678199768066,2.3455746173858643,0.3712714612483978,0.7549507021903992,1.112868070602417,72,13,0,2020-10-04T11:39:32,1601674711.191184,2020-10-03T00:38:31
1601800786,291000,0.9034557938575745,3.6162636280059814,2.3844330310821533,0.37726664543151855,0.7481368184089661,1.1316415071487427,120,13,0,2020-10-04T11:39:46,1601674727.8629448,2020-10-03T00:38:47
1601800804,291000,0.8494994044303894,3.9052324295043945,2.348320245742798,0.3716951608657837,0.6969667077064514,1.2896761894226074,165,13,0,2020-10-04T11:40:04,1601674743.0912929,2020-10-03T00:39:03
1601800817,915000,1.0356650352478027,3.049403667449951,2.378826379776001,0.37640181183815,0.7641912698745728,1.0881659984588623,211,13,0,2020-10-04T11:40:17,1601674759.769796,2020-10-03T00:39:19
1601800834,915000,0.8273875117301941,4.035953044891357,2.3621180057525635,0.3738241195678711,0.7165400981903076,1.2254257202148438,255,13,0,2020-10-04T11:40:34,1601674774.737097,2020-10-03T00:39:34
1601800848,537000,0.8586775660514832,3.853191375732422,2.376030206680298,0.3759704530239105,0.7358962297439575,1.1666162014007568,47,13,0,2020-10-04T11:40:48,1601674791.103472,2020-10-03T00:39:51
1601800866,537000,0.898168683052063,3.6428580284118652,2.4156055450439453,0.3820742666721344,0.7712410092353821,1.0698843002319336,92,13,0,2020-10-04T11:41:06,1601674806.9962559,2020-10-03T00:40:06
1601800880,156000,0.9349530339241028,3.464817762374878,2.421335220336914,0.3829577565193176,0.7868781685829163,1.0309851169586182,134,13,0,2020-10-04T11:41:20,1601674820.8963878,2020-10-03T00:40:20
1601800898,156000,0.873914361000061,3.769505739212036,2.438640594482422,0.3856258690357208,0.8042967319488525,0.9901653528213501,183,13,0,2020-10-04T11:41:38,1601674838.80322,2020-10-03T00:40:38
1601800911,777000,0.9733332991600037,3.2951011657714844,2.450275182723999,0.3874194025993347,0.8158257603645325,0.9645016193389893,227,13,0,2020-10-04T11:41:51,1601674855.7242088,2020-10-03T00:40:55
