time_s,time_us,sd_last_error,sd_error_count,sd_elapsed_time_from_msg,sd_last_state,imi_last_error,imi_error_count,imi_elapsed_time_from_msg,imi_last_state,sins_comm_last_error,sins_comm_error_count,sins_comm_elapsed_time_from_msg,sins_comm_last_state,wifi_last_error,wifi_error_count,wifi_elapsed_time_from_msg,wifi_last_state,network_last_error,network_error_count,network_elapsed_time_from_msg,network_last_state,sensors_last_error,sensors_error_count,sensors_elapsed_time_from_msg,sensors_last_state,time_sync_last_error,time_sync_error_count,time_sync_elapsed_time_from_msg,time_sync_last_state,radio_last_error,radio_error_count,radio_elapsed_time_from_msg,radio_last_state,shift_reg_last_error,shift_reg_error_count,shift_reg_elapsed_time_from_msg,shift_reg_last_state,seq,srcSystem,srcComponent,time_gregorian,log_timestamp,log_timestamp_gregorian
1601800047,316623,0,0,8,2,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1118481,14,10,0,2020-10-04T11:27:27,1601673974.939265,2020-10-03T00:26:14
1601800078,340074,0,0,2,2,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1118481,106,10,0,2020-10-04T11:27:58,1601674006.122256,2020-10-03T00:26:46
1601800106,503222,0,0,10,2,0,0,0,0,0,0,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1118481,189,10,0,2020-10-04T11:28:26,1601674037.6771438,2020-10-03T00:27:17
1601800138,568682,0,0,39,2,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1118481,27,10,0,2020-10-04T11:28:58,1601674069.8161678,2020-10-03T00:27:49
1601800170,68694,0,0,44,2,0,0,0,0,0,0,261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1118481,116,10,0,2020-10-04T11:29:30,1601674101.6790838,2020-10-03T00:28:21
1601800200,584338,0,0,14,2,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1118481,208,10,0,2020-10-04T11:30:00,1601674132.451853,2020-10-03T00:28:52
1601800231,99972,0,0,52,2,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1118481,43,10,0,2020-10-04T11:30:31,1601674164.1028929,2020-10-03T00:29:24
1601800263,584365,0,0,71,2,0,0,0,0,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1118481,135,10,0,2020-10-04T11:31:03,1601674196.674793,2020-10-03T00:29:56
1601800294,99999,0,0,43,2,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1118481,228,10,0,2020-10-04T11:31:34,1601674227.5304198,2020-10-03T00:30:27
1601800325,600015,0,0,60,2,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1118481,62,10,0,2020-10-04T11:32:05,1601674259.478473,2020-10-03T00:30:59
