time_from_start_min,time_s_comparsion,time_s_valid,time_s_corr,time_s_delta,time_s,time_us,red_sensor_raw,co_conc,ox_sensor_raw,no2_conc,nh3_sensor_raw,nh3_conc,seq,srcSystem,srcComponent,time_gregorian
210.016666666667,-42,1601814161,,1,1601814203,863000,0.118153646588326,45.8315773010254,1.52287542819977,0.243675991892815,0.160250246524811,19.4274520874023,217,13,0,2020-10-04T15:23:23
210.033333333333,-42,1601814162,,1,1601814204,863000,0.118419252336025,45.7032852172852,1.52287542819977,0.243675991892815,0.159935042262077,19.4981575012207,222,13,0,2020-10-04T15:23:24
210.05,-42,1601814163,,1,1601814205,863000,0.118684999644756,45.5755653381348,1.52287542819977,0.243675991892815,0.160250246524811,19.4274520874023,227,13,0,2020-10-04T15:23:25
210.066666666667,-42,1601814164,,1,1601814206,863000,0.117622889578342,46.089900970459,1.52131903171539,0.243433192372322,0.159935042262077,19.4981575012207,231,13,0,2020-10-04T15:23:26
210.083333333333,-42,1601814165,,1,1601814207,863000,0.116034172475338,46.8790397644043,1.5120210647583,0.241982609033585,0.157123431563377,20.1467838287353,236,13,0,2020-10-04T15:23:27
210.1,-42,1601814166,,1,1601814208,863000,0.117357730865479,46.2199401855469,1.51976466178894,0.243190720677376,0.158992812037468,19.711893081665,241,13,0,2020-10-04T15:23:28
210.116666666667,-42,1601814167,,1,1601814209,863000,0.115769900381565,47.0126724243164,1.52287542819977,0.243675991892815,0.159149497747421,19.6760997772217,245,13,0,2020-10-04T15:23:29
210.133333333333,-42,1601814168,,1,1601814210,863000,0.118419252336025,45.7032852172852,1.51976466178894,0.243190720677376,0.159306317567825,19.6403770446777,250,13,0,2020-10-04T15:23:30
210.15,-42,1601814169,,1,1601814211,863000,0.117357730865479,46.2199401855469,1.51976466178894,0.243190720677376,0.159306317567825,19.6403770446777,255,13,0,2020-10-04T15:23:31
210.166666666667,-42,1601814170,,1,1601814212,863000,0.115241795778275,47.2817764282227,1.5120210647583,0.241982609033585,0.156504735350609,20.293981552124,3,13,0,2020-10-04T15:23:32
210.183333333333,-42,1601814171,,1,1601814213,863000,0.116827867925167,46.4817848205566,1.52131903171539,0.243433192372322,0.158836260437965,19.7477550506592,8,13,0,2020-10-04T15:23:33
210.2,-42,1601814172,,1,1601814214,863000,0.116827867925167,46.4817848205566,1.52131903171539,0.243433192372322,0.158523589372635,19.8196830749512,13,13,0,2020-10-04T15:23:34
210.216666666667,-42,1601814173,,1,1601814215,863000,0.117622889578342,46.089900970459,1.52131903171539,0.243433192372322,0.158523589372635,19.8196830749512,17,13,0,2020-10-04T15:23:35
210.233333333333,-42,1601814174,,1,1601814216,863000,0.117622889578342,46.089900970459,1.52131903171539,0.243433192372322,0.158523589372635,19.8196830749512,22,13,0,2020-10-04T15:23:36
210.25,-42,1601814175,,1,1601814217,863000,0.116563156247139,46.6136016845703,1.51047801971436,0.241741850972176,0.156042158603668,20.405122756958,27,13,0,2020-10-04T15:23:37
210.266666666667,-42,1601814176,,1,1601814218,863000,0.117888204753399,45.9604454040527,1.51976466178894,0.243190720677376,0.158367455005646,19.8557510375977,31,13,0,2020-10-04T15:23:38
210.283333333333,-42,1601814177,,1,1601814219,863000,0.118684999644756,45.5755653381348,1.52131903171539,0.243433192372322,0.158679857850075,19.7836837768555,36,13,0,2020-10-04T15:23:39
210.3,-42,1601814178,,1,1601814220,863000,0.119216941297054,45.3218383789063,1.51976466178894,0.243190720677376,0.158679857850075,19.7836837768555,41,13,0,2020-10-04T15:23:40
210.316666666667,-42,1601814179,,1,1601814221,863000,0.1197494789958,45.0703620910645,1.51821196079254,0.242948487401009,0.158679857850075,19.7836837768555,45,13,0,2020-10-04T15:23:41
210.333333333333,-42,1601814180,,1,1601814222,863000,0.116827867925167,46.4817848205566,1.50893688201904,0.24150139093399,0.156196221709251,20.3680019378662,50,13,0,2020-10-04T15:23:42
210.35,-42,1601814181,,1,1601814223,863000,0.118684999644756,45.5755653381348,1.51821196079254,0.242948487401009,0.158523589372635,19.8196830749512,55,13,0,2020-10-04T15:23:43
210.366666666667,-42,1601814182,,1,1601814224,863000,0.119216941297054,45.3218383789063,1.51666140556335,0.242706581950188,0.158367455005646,19.8557510375977,59,13,0,2020-10-04T15:23:44
210.383333333333,-42,1601814183,,1,1601814225,863000,0.120816327631474,44.5740661621094,1.51666140556335,0.242706581950188,0.158836260437965,19.7477550506592,64,13,0,2020-10-04T15:23:45
210.4,-42,1601814184,,1,1601814226,863000,0.121618032455444,44.2075500488281,1.51511263847351,0.242464944720268,0.158836260437965,19.7477550506592,69,13,0,2020-10-04T15:23:46
210.416666666667,-42,1601814185,,1,1601814227,863000,0.120816327631474,44.5740661621094,1.51666140556335,0.242706581950188,0.158836260437965,19.7477550506592,73,13,0,2020-10-04T15:23:47
210.433333333333,-42,1601814186,,1,1601814228,863000,0.120549388229847,44.6973190307617,1.51511263847351,0.242464944720268,0.158679857850075,19.7836837768555,78,13,0,2020-10-04T15:23:48
210.45,-42,1601814187,,1,1601814229,863000,0.119483128190041,45.1958236694336,1.51666140556335,0.242706581950188,0.158523589372635,19.8196830749512,83,13,0,2020-10-04T15:23:49
