alt,pressure,temperature
-300,104981.3729181105,290.10009203227077
-299,104969.0093626941,290.09359141973044
-298,104956.6469902062,290.0870908092355
-297,104944.28580055968,290.080590200786
-296,104931.92579366737,290.07408959438175
-295,104919.56696944221,290.0675889900229
-294,104907.20932779707,290.0610883877094
-293,104894.85286864483,290.0545877874412
-292,104882.49759189838,290.0480871892184
-291,104870.14349747056,290.04158659304096
-290,104857.79058527433,290.0350859989088
-289,104845.4388552225,290.028585406822
-288,104833.08830722816,290.0220848167806
-287,104820.73894120398,290.0155842287845
-286,104808.39075706303,290.00908364283373
-285,104796.04375471821,290.00258305892834
-284,104783.69793408242,289.9960824770683
-283,104771.35329506862,289.9895818972535
-282,104759.00983758975,289.98308131948414
-281,104746.66756155861,289.9765807437601
-280,104734.3264668883,289.97008017008136
-279,104721.98655349178,289.963579598448
-278,104709.64782128182,289.95707902885994
-277,104697.31027017153,289.9505784613172
-276,104684.97390007388,289.9440778958198
-275,104672.63871090171,289.93757733236777
-274,104660.3047025681,289.93107677096106
-273,104647.97187498597,289.9245762115997
-272,104635.64022806831,289.9180756542836
-271,104623.3097617281,289.9115750990129
-270,104610.98047587837,289.90507454578744
-269,104598.65237043209,289.8985739946074
-268,104586.32544530214,289.89207344547265
-267,104573.9997004017,289.8855728983832
-266,104561.67513564369,289.8790723533391
-265,104549.35175094104,289.8725718103403
-264,104537.02954620695,289.8660712693868
-263,104524.7085213543,289.85957073047865
-262,104512.38867629613,289.85307019361585
-261,104500.07001094546,289.84656965879833
-260,104487.75252521543,289.84006912602615
-259,104475.43621901893,289.83356859529925
-258,104463.12109226902,289.8270680666177
-257,104450.80714487885,289.8205675399814
-256,104438.4943767614,289.8140670153905
-255,104426.18278782972,289.8075664928449
-254,104413.8723779969,289.80106597234453
-253,104401.56314717603,289.79456545388956
-252,104389.25509528008,289.7880649374799
-251,104376.94822222213,289.78156442311547
-250,104364.64252791532,289.7750639107964
-249,104352.33801227277,289.7685634005226
-248,104340.03467520751,289.7620628922942
-247,104327.73251663253,289.75556238611097
-246,104315.43153646115,289.74906188197315
-245,104303.13173460623,289.74256137988056
-244,104290.8331109811,289.7360608798333
-243,104278.53566549867,289.72956038183133
-242,104266.23939807215,289.7230598858747
-241,104253.94430861465,289.71655939196336
-240,104241.65039703932,289.7100589000973
-239,104229.35766325926,289.7035584102765
-238,104217.06610718757,289.6970579225011
-237,104204.77572873738,289.6905574367709
-236,104192.48652782191,289.68405695308604
-235,104180.19850435418,289.67755647144645
-234,104167.91165824748,289.67105599185214
-233,104155.6259894149,289.6645555143031
-232,104143.34149776955,289.65805503879943
-231,104131.05818322468,289.65155456534103
-230,104118.77604569345,289.64505409392785
-229,104106.49508508891,289.63855362456
-228,104094.21530132435,289.63205315723746
-227,104081.93669431293,289.6255526919602
-226,104069.65926396781,289.6190522287282
-225,104057.38301020223,289.6125517675415
-224,104045.10793292934,289.6060513084
-223,104032.8340320623,289.5995508513039
-222,104020.56130751444,289.59305039625303
-221,104008.28975919883,289.58654994324746
-220,103996.01938702875,289.5800494922871
-219,103983.75019091743,289.5735490433721
-218,103971.48217077802,289.56704859650233
-217,103959.21532652382,289.5605481516779
-216,103946.94965806812,289.5540477088987
-215,103934.68516532394,289.54754726816475
-214,103922.42184820471,289.5410468294761
-213,103910.15970662361,289.5345463928327
-212,103897.89874049385,289.5280459582346
-211,103885.63894972872,289.52154552568174
-210,103873.38033424155,289.5150450951742
-209,103861.1228939455,289.5085446667118
-208,103848.86662875384,289.5020442402948
-207,103836.61153857983,289.49554381592304
-206,103824.35762333684,289.4890433935965
-205,103812.10488293806,289.4825429733153
-204,103799.85331729685,289.4760425550793
-203,103787.6029263264,289.4695421388886
-202,103775.35370994007,289.4630417247431
-201,103763.10566805118,289.4565413126429
-200,103750.85880057293,289.45004090258794
-199,103738.61310741871,289.44354049457826
-198,103726.36858850183,289.43704008861386
-197,103714.12524373557,289.4305396846947
-196,103701.88307303333,289.42403928282073
-195,103689.64207630829,289.41753888299206
-194,103677.40225347393,289.4110384852087
-193,103665.16360444344,289.4045380894705
-192,103652.9261291303,289.3980376957776
-191,103640.68982744771,289.39153730412994
-190,103628.45469930918,289.3850369145275
-189,103616.2207446279,289.3785365269704
-188,103603.98796331733,289.37203614145847
-187,103591.75635529077,289.36553575799184
-186,103579.52592046165,289.3590353765704
-185,103567.2966587433,289.3525349971942
-184,103555.0685700491,289.3460346198633
-183,103542.8416542924,289.33953424457764
-182,103530.61591138662,289.33303387133714
-181,103518.39134124515,289.326533500142
-180,103506.1679437814,289.320033130992
-179,103493.94571890868,289.3135327638873
-178,103481.72466654047,289.3070323988278
-177,103469.50478659011,289.30053203581355
-176,103457.28607897108,289.2940316748445
-175,103445.06854359673,289.2875313159207
-174,103432.85218038053,289.2810309590422
-173,103420.63698923594,289.27453060420885
-172,103408.42297007631,289.2680302514208
-171,103396.21012281504,289.26152990067794
-170,103383.9984473657,289.25502955198033
-169,103371.7879436416,289.24852920532794
-168,103359.57861155628,289.2420288607208
-167,103347.37045102316,289.23552851815884
-166,103335.16346195564,289.22902817764214
-165,103322.95764426728,289.22252783917065
-164,103310.7529978714,289.2160275027444
-163,103298.54952268164,289.2095271683633
-162,103286.34721861135,289.2030268360275
-161,103274.1460855741,289.1965265057369
-160,103261.94612348326,289.1900261774916
-159,103249.74733225242,289.1835258512914
-158,103237.54971179496,289.1770255271365
-157,103225.35326202451,289.17052520502676
-156,103213.1579828545,289.16402488496226
-155,103200.96387419842,289.157524566943
-154,103188.77093596975,289.1510242509689
-153,103176.5791680821,289.14452393704005
-152,103164.38857044888,289.1380236251564
-151,103152.19914298375,289.13152331531796
-150,103140.01088560007,289.12502300752476
-149,103127.82379821157,289.1185227017767
-148,103115.63788073159,289.1120223980739
-147,103103.45313307371,289.10552209641634
-146,103091.26955515158,289.0990217968039
-145,103079.08714687866,289.09252149923674
-144,103066.90590816854,289.0860212037148
-143,103054.72583893478,289.079520910238
-142,103042.5469390909,289.0730206188064
-141,103030.3692085505,289.0665203294201
-140,103018.1926472272,289.0600200420789
-139,103006.01725503449,289.0535197567829
-138,102993.84303188599,289.04701947353215
-137,102981.66997769526,289.0405191923266
-136,102969.49809237587,289.0340189131662
-135,102957.32737584157,289.02751863605107
-134,102945.15782800573,289.0210183609811
-133,102932.98944878211,289.0145180879563
-132,102920.82223808432,289.0080178169767
-131,102908.65619582582,289.00151754804233
-130,102896.49132192039,288.9950172811531
-129,102884.32761628165,288.98851701630906
-128,102872.16507882306,288.98201675351027
-127,102860.00370945843,288.9755164927566
-126,102847.84350810127,288.9690162340482
-125,102835.6844746653,288.9625159773849
-124,102823.52660906417,288.95601572276684
-123,102811.36991121147,288.94951547019394
-122,102799.21438102082,288.9430152196662
-121,102787.06001840599,288.93651497118367
-120,102774.90682328059,288.93001472474634
-119,102762.75479555828,288.9235144803542
-118,102750.60393515264,288.9170142380072
-117,102738.45424197752,288.9105139977054
-116,102726.30571594651,288.90401375944873
-115,102714.1583569733,288.8975135232373
-114,102702.01216497153,288.891013289071
-113,102689.86713985499,288.8845130569499
-112,102677.72328153728,288.878012826874
-111,102665.58058993217,288.87151259884325
-110,102653.43906495336,288.8650123728577
-109,102641.29870651456,288.85851214891727
-108,102629.15951452941,288.85201192702203
-107,102617.0214889117,288.8455117071719
-106,102604.8846295752,288.83901148936707
-105,102592.7489364335,288.8325112736073
-104,102580.61440940047,288.8260110598927
-103,102568.48104838983,288.81951084822333
-102,102556.34885331523,288.8130106385991
-101,102544.2178240905,288.80651043102
-100,102532.08796062933,288.8000102254861
-99,102519.95926284554,288.79351002199735
-98,102507.83173065285,288.78700982055375
-97,102495.70536396504,288.7805096211553
-96,102483.58016269587,288.77400942380206
-95,102471.45612675908,288.76750922849396
-94,102459.33325606854,288.761009035231
-93,102447.21155053793,288.7545088440132
-92,102435.0910100811,288.74800865484053
-91,102422.97163461185,288.74150846771306
-90,102410.85342404393,288.7350082826307
-89,102398.73637829117,288.7285080995935
-88,102386.62049726734,288.7220079186015
-87,102374.50578088632,288.7155077396546
-86,102362.39222906184,288.70900756275284
-85,102350.27984170779,288.7025073878963
-84,102338.16861873795,288.6960072150848
-83,102326.05856006617,288.68950704431853
-82,102313.94966560627,288.68300687559736
-81,102301.84193527202,288.67650670892135
-80,102289.7353689774,288.6700065442905
-79,102277.62996663617,288.6635063817048
-78,102265.5257281622,288.65700622116424
-77,102253.4226534693,288.6505060626688
-76,102241.32074247143,288.64400590621847
-75,102229.21999508233,288.6375057518133
-74,102217.12041121593,288.63100559945326
-73,102205.02199078613,288.6245054491384
-72,102192.9247337067,288.6180053008686
-71,102180.82863989173,288.611505154644
-70,102168.73370925488,288.60500501046454
-69,102156.6399417101,288.59850486833017
-68,102144.54733717142,288.59200472824097
-67,102132.45589555259,288.5855045901969
-66,102120.36561676752,288.5790044541979
-65,102108.27650073024,288.5725043202441
-64,102096.18854735448,288.5660041883354
-63,102084.10175655432,288.5595040584718
-62,102072.0161282436,288.55300393065335
-61,102059.93166233628,288.54650380488005
-60,102047.84835874628,288.5400036811518
-59,102035.76621738753,288.5335035594687
-58,102023.68523817392,288.52700343983076
-57,102011.6054210195,288.5205033222379
-56,101999.52676583815,288.51400320669023
-55,101987.4492725438,288.5075030931876
-54,101975.37294105049,288.50100298173015
-53,101963.29777127206,288.4945028723178
-52,101951.22376312259,288.4880027649506
-51,101939.15091651608,288.4815026596284
-50,101927.07923136634,288.4750025563514
-49,101915.00870758745,288.4685024551195
-48,101902.93934509343,288.4620023559327
-47,101890.87114379824,288.45550225879106
-46,101878.80410361578,288.44900216369444
-45,101866.7382244602,288.442502070643
-44,101854.67350624545,288.43600197963667
-43,101842.60994888542,288.4295018906754
-42,101830.5475522943,288.4230018037593
-41,101818.48631638606,288.41650171888824
-40,101806.42624107457,288.4100016360623
-39,101794.367326274,288.4035015552815
-38,101782.30957189837,288.39700147654577
-37,101770.25297786172,288.39050139985517
-36,101758.19754407804,288.3840013252096
-35,101746.14327046141,288.37750125260925
-34,101734.09015692583,288.3710011820539
-33,101722.03820338538,288.36450111354367
-32,101709.98740975407,288.3580010470786
-31,101697.93777594603,288.35150098265854
-30,101685.88930187534,288.3450009202836
-29,101673.84198745605,288.33850085995374
-28,101661.7958326021,288.332000801669
-27,101649.7508372278,288.32550074542934
-26,101637.70700124705,288.3190006912348
-25,101625.66432457398,288.31250063908533
-24,101613.62280712275,288.30600058898096
-23,101601.58244880743,288.29950054092166
-22,101589.54324954208,288.29300049490746
-21,101577.50520924082,288.2865004509383
-20,101565.46832781771,288.2800004090143
-19,101553.43260518696,288.2735003691353
-18,101541.39804126266,288.26700033130146
-17,101529.36463595887,288.26050029551266
-16,101517.33238918983,288.25400026176897
-15,101505.3013008696,288.24750023007033
-14,101493.27137091229,288.2410002004168
-13,101481.2425992321,288.23450017280834
-12,101469.2149857431,288.2280001472449
-11,101457.18853035952,288.2215001237266
-10,101445.16323299552,288.2150001022534
-9,101433.13909356517,288.20850008282525
-8,101421.11611198274,288.2020000654421
-7,101409.09428816228,288.1955000501041
-6,101397.0736220181,288.1890000368112
-5,101385.05411346426,288.1825000255633
-4,101373.03576241495,288.1760000163605
-3,101361.01856878442,288.1695000092028
-2,101349.0025324869,288.1630000040901
-1,101336.9876534364,288.1565000010225
0,101325.0,288.15
1,101312.98743209588,288.1435000010225
2,101300.97602118179,288.1370000040901
3,101288.96576717195,288.13050000920276
4,101276.95666998065,288.12400001636047
5,101264.94872952197,288.1175000255633
6,101252.94194571022,288.1110000368111
7,101240.93631845961,288.10450005010404
8,101228.9318476844,288.09800006544197
9,101216.92853329882,288.091500082825
10,101204.92637521711,288.08500010225305
11,101192.92537335347,288.0785001237262
12,101180.92552762221,288.0720001472444
13,101168.92683793759,288.0655001728076
14,101156.92930421386,288.05900020041594
15,101144.93292636532,288.05250023006926
16,101132.93770430614,288.04600026176763
17,101120.94363795065,288.03950029551106
18,101108.95072721319,288.0330003312996
19,101096.95897200797,288.0265003691331
20,101084.96837224926,288.0200004090117
21,101072.97892785142,288.01350045093534
22,101060.99063872869,288.007000494904
23,101049.00350479543,288.0005005409177
24,101037.0175259659,287.99400058897646
25,101025.03270215445,287.9875006390803
26,101013.04903327537,287.98100069122916
27,101001.06651924294,287.97450074542303
28,100989.0851599716,287.96800080166196
29,100977.10495537556,287.9615008599459
30,100965.12590536919,287.9550009202749
31,100953.14800986681,287.94850098264897
32,100941.17126878285,287.942001047068
33,100929.19568203152,287.9355011135321
34,100917.22124952731,287.92900118204125
35,100905.2479711845,287.92250125259545
36,100893.27584691744,287.9160013251946
37,100881.30487664053,287.90950139983886
38,100869.3350602681,287.9030014765281
39,100857.36639771458,287.89650155526243
