time_s,time_us,temperature,seq,srcSystem,srcComponent,time_gregorian,log_timestamp,log_timestamp_gregorian
1601805333,279622,-4.875,254,20,2,2020-10-04T12:55:33,1601679282.9868639,2020-10-03T01:54:42
1601805351,254063,-5.5625,42,20,2,2020-10-04T12:55:51,1601679297.4430158,2020-10-03T01:54:57
1601805364,275324,-5.625,78,20,2,2020-10-04T12:56:04,1601679313.5817719,2020-10-03T01:55:13
1601805382,274984,-5.3125,125,20,2,2020-10-04T12:56:22,1601679328.469617,2020-10-03T01:55:28
1601805396,289304,-4.8125,168,20,2,2020-10-04T12:56:36,1601679342.773484,2020-10-03T01:55:42
1601805414,276505,-4.8125,214,20,2,2020-10-04T12:56:54,1601679360.4748008,2020-10-03T01:56:00
1601805427,276493,-4.8125,1,20,2,2020-10-04T12:57:07,1601679374.218312,2020-10-03T01:56:14
1601805445,238881,-4.6875,45,20,2,2020-10-04T12:57:25,1601679391.996549,2020-10-03T01:56:31
1601805459,261538,-4.75,89,20,2,2020-10-04T12:57:39,1601679405.6978688,2020-10-03T01:56:45
1601805476,228251,-4.75,135,20,2,2020-10-04T12:57:56,1601679423.051633,2020-10-03T01:57:03
1601805490,260699,-4.6875,178,20,2,2020-10-04T12:58:10,1601679436.761896,2020-10-03T01:57:16
1601805508,273544,-4.5,228,20,2,2020-10-04T12:58:28,1601679454.401012,2020-10-03T01:57:34
1601805554,249148,-4.0625,76,20,2,2020-10-04T12:59:14,1601679500.3004,2020-10-03T01:58:20
1601805568,270244,-4.0,111,20,2,2020-10-04T12:59:28,1601679514.25804,2020-10-03T01:58:34
1601805585,285303,-3.75,153,20,2,2020-10-04T12:59:45,1601679531.984252,2020-10-03T01:58:51
1601805599,292469,-3.4375,201,20,2,2020-10-04T12:59:59,1601679548.28156,2020-10-03T01:59:08
1601805617,212395,-3.5625,244,20,2,2020-10-04T13:00:17,1601679562.4540808,2020-10-03T01:59:22
1601805631,240986,-3.4375,17,20,2,2020-10-04T13:00:31,1601679577.1104999,2020-10-03T01:59:37
1601805648,269830,-3.1875,59,20,2,2020-10-04T13:00:48,1601679594.385632,2020-10-03T01:59:54
1601805662,271679,-3.1875,96,20,2,2020-10-04T13:01:02,1601679610.929441,2020-10-03T02:00:10
1601805680,269481,-3.0,141,20,2,2020-10-04T13:01:20,1601679625.451856,2020-10-03T02:00:25
1601805707,265679,-2.6875,207,20,2,2020-10-04T13:01:47,1601679653.778964,2020-10-03T02:00:53
1601805725,311164,-1.9375,244,20,2,2020-10-04T13:02:05,1601679671.206184,2020-10-03T02:01:11
1601805756,265911,-2.1875,56,20,2,2020-10-04T13:02:36,1601679702.7563798,2020-10-03T02:01:42
1601805769,256057,-1.8125,101,20,2,2020-10-04T13:02:49,1601679716.366097,2020-10-03T02:01:56
1601805787,264425,-1.625,136,20,2,2020-10-04T13:03:07,1601679733.949952,2020-10-03T02:02:13
1601805819,263380,-1.25,212,20,2,2020-10-04T13:03:39,1601679765.313724,2020-10-03T02:02:45
1601805865,262417,-3.3125,50,20,2,2020-10-04T13:04:25,1601679814.2493808,2020-10-03T02:03:34
1601805883,262567,-6.0625,69,20,2,2020-10-04T13:04:43,1601679829.365645,2020-10-03T02:03:49
1601805928,289403,-11.5,181,20,2,2020-10-04T13:05:28,1601679876.900944,2020-10-03T02:04:36
1601805991,268129,-19.0,41,20,2,2020-10-04T13:06:31,1601679940.073521,2020-10-03T02:05:40
1601806008,268848,-21.0625,77,20,2,2020-10-04T13:06:48,1601679954.929913,2020-10-03T02:05:54
1601806022,193139,-22.1875,93,20,2,2020-10-04T13:07:02,1601679968.906024,2020-10-03T02:06:08
1601806040,257875,-24.3125,109,20,2,2020-10-04T13:07:20,1601679986.7034929,2020-10-03T02:06:26
1601806054,266562,-25.75,124,20,2,2020-10-04T13:07:34,1601680002.852025,2020-10-03T02:06:42
1601806102,237951,-29.8125,153,20,2,2020-10-04T13:08:22,1601680048.728873,2020-10-03T02:07:28
1601806116,228997,-31.0625,198,20,2,2020-10-04T13:08:36,1601680065.0798478,2020-10-03T02:07:45
1601806134,263468,-32.0,245,20,2,2020-10-04T13:08:54,1601680080.1441119,2020-10-03T02:08:00
1601806147,263218,-33.125,35,20,2,2020-10-04T13:09:07,1601680094.200444,2020-10-03T02:08:14
1601806165,262685,-33.6875,85,20,2,2020-10-04T13:09:25,1601680111.691725,2020-10-03T02:08:31
1601806179,273031,-34.125,132,20,2,2020-10-04T13:09:39,1601680129.0735729,2020-10-03T02:08:49
1601806196,249096,-35.0,174,20,2,2020-10-04T13:09:56,1601680142.836304,2020-10-03T02:09:02
1601806210,271522,-35.75,217,20,2,2020-10-04T13:10:10,1601680156.766928,2020-10-03T02:09:16
1601806228,269725,-36.5,9,20,2,2020-10-04T13:10:28,1601680174.0093088,2020-10-03T02:09:34
1601806242,266712,-37.8125,58,20,2,2020-10-04T13:10:42,1601680191.146864,2020-10-03T02:09:51
1601806259,270765,-38.25,103,20,2,2020-10-04T13:10:59,1601680205.744176,2020-10-03T02:10:05
1601806273,270410,-38.6875,148,20,2,2020-10-04T13:11:13,1601680219.3141918,2020-10-03T02:10:19
1601806291,268599,-39.0625,194,20,2,2020-10-04T13:11:31,1601680236.736997,2020-10-03T02:10:36
1601806304,271496,-39.625,238,20,2,2020-10-04T13:11:44,1601680254.704005,2020-10-03T02:10:54
1601806322,271188,-39.6875,27,20,2,2020-10-04T13:12:02,1601680269.061668,2020-10-03T02:11:09
1601806336,236330,-40.1875,72,20,2,2020-10-04T13:12:16,1601680282.538205,2020-10-03T02:11:22
1601806353,270756,-40.8125,121,20,2,2020-10-04T13:12:33,1601680300.030664,2020-10-03T02:11:40
1601806367,255675,-41.0625,170,20,2,2020-10-04T13:12:47,1601680316.519013,2020-10-03T02:11:56
1601806385,268644,-41.75,215,20,2,2020-10-04T13:13:05,1601680331.4099638,2020-10-03T02:12:11
1601806399,211585,-42.125,2,20,2,2020-10-04T13:13:19,1601680345.428412,2020-10-03T02:12:25
1601806416,272904,-42.1875,48,20,2,2020-10-04T13:13:36,1601680363.144121,2020-10-03T02:12:43
1601806430,269322,-42.5,95,20,2,2020-10-04T13:13:50,1601680379.834312,2020-10-03T02:12:59
1601806448,261675,-43.1875,136,20,2,2020-10-04T13:14:08,1601680394.477485,2020-10-03T02:13:14
1601806461,261274,-43.375,181,20,2,2020-10-04T13:14:21,1601680408.232713,2020-10-03T02:13:28
1601806479,251274,-43.625,231,20,2,2020-10-04T13:14:39,1601680425.735832,2020-10-03T02:13:45
1601806493,246363,-44.4375,18,20,2,2020-10-04T13:14:53,1601680442.9281929,2020-10-03T02:14:02
1601806510,187989,-45.125,61,20,2,2020-10-04T13:15:10,1601680455.9368808,2020-10-03T02:14:15
1601806520,31735,-46.125,95,20,2,2020-10-04T13:15:20,1601680466.228813,2020-10-03T02:14:26
1601806532,828610,-47.125,136,20,2,2020-10-04T13:15:32,1601680480.2798839,2020-10-03T02:14:40
1601806546,609864,-47.5625,175,20,2,2020-10-04T13:15:46,1601680493.369464,2020-10-03T02:14:53
1601806559,406731,-47.75,217,20,2,2020-10-04T13:15:59,1601680506.452528,2020-10-03T02:15:06
