time_s,time_us,deg,seq,srcSystem,srcComponent,time_gregorian,log_timestamp,log_timestamp_gregorian
1601800055,71000,24.970703125,41,11,0,2020-10-04T11:27:35,1601673983.7764409,2020-10-03T00:26:23
1601800074,45000,25.293041229248047,99,11,0,2020-10-04T11:27:54,1601674001.8412519,2020-10-03T00:26:41
1601800096,180000,24.326000213623047,160,11,0,2020-10-04T11:28:16,1601674024.238077,2020-10-03T00:27:04
1601800119,680000,24.970703125,221,11,0,2020-10-04T11:28:39,1601674047.4004009,2020-10-03T00:27:27
1601800124,185000,25.293041229248047,29,11,0,2020-10-04T11:28:44,1601674069.832352,2020-10-03T00:27:49
1601800146,326000,25.293041229248047,89,11,0,2020-10-04T11:29:06,1601674092.281661,2020-10-03T00:28:12
1601800164,289000,25.293041229248047,149,11,0,2020-10-04T11:29:24,1601674111.161789,2020-10-03T00:28:31
1601800186,394000,25.615381240844727,213,11,0,2020-10-04T11:29:46,1601674133.4519,2020-10-03T00:28:53
1601800208,485000,27.227100372314453,13,11,0,2020-10-04T11:30:08,1601674154.406852,2020-10-03T00:29:14
1601800227,810000,27.227100372314453,75,11,0,2020-10-04T11:30:27,1601674174.532956,2020-10-03T00:29:34
1601800251,267000,27.5494384765625,136,11,0,2020-10-04T11:30:51,1601674196.680161,2020-10-03T00:29:56
1601800271,957000,30.128198623657227,200,11,0,2020-10-04T11:31:11,1601674217.7916958,2020-10-03T00:30:17
1601800291,268000,28.5164794921875,6,11,0,2020-10-04T11:31:31,1601674237.233621,2020-10-03T00:30:37
1601800313,330000,28.5164794921875,66,11,0,2020-10-04T11:31:53,1601674260.588117,2020-10-03T00:31:00
1601800332,642000,28.838817596435547,124,11,0,2020-10-04T11:32:12,1601674278.69602,2020-10-03T00:31:18
1601800354,708000,30.4505615234375,184,11,0,2020-10-04T11:32:34,1601674301.482137,2020-10-03T00:31:41
1601800378,139000,34.31867599487305,246,11,0,2020-10-04T11:32:58,1601674324.188021,2020-10-03T00:32:04
1601800396,64000,29.805858612060547,48,11,0,2020-10-04T11:33:16,1601674342.791452,2020-10-03T00:32:22
1601800419,497000,32.384620666503906,112,11,0,2020-10-04T11:33:39,1601674365.154336,2020-10-03T00:32:45
1601800441,539000,29.805858612060547,176,11,0,2020-10-04T11:34:01,1601674387.816464,2020-10-03T00:33:07
1601800464,963000,29.805858612060547,236,11,0,2020-10-04T11:34:24,1601674410.6021929,2020-10-03T00:33:30
1601800481,502000,29.805858612060547,40,11,0,2020-10-04T11:34:41,1601674431.306165,2020-10-03T00:33:51
1601800504,929000,29.161182403564453,97,11,0,2020-10-04T11:35:04,1601674450.94818,2020-10-03T00:34:10
1601800527,10000,29.4835205078125,163,11,0,2020-10-04T11:35:27,1601674473.435144,2020-10-03T00:34:33
1601800544,939000,29.161182403564453,224,11,0,2020-10-04T11:35:44,1601674494.777612,2020-10-03T00:34:54
1601800568,386000,28.838817596435547,25,11,0,2020-10-04T11:36:08,1601674517.378125,2020-10-03T00:35:17
1601800590,449000,28.5164794921875,85,11,0,2020-10-04T11:36:30,1601674537.219776,2020-10-03T00:35:37
1601800609,758000,27.871801376342773,151,11,0,2020-10-04T11:36:49,1601674559.708324,2020-10-03T00:35:59
1601800631,834000,28.194141387939453,206,11,0,2020-10-04T11:37:11,1601674578.6730928,2020-10-03T00:36:18
1601800655,284000,27.871801376342773,12,11,0,2020-10-04T11:37:35,1601674601.293349,2020-10-03T00:36:41
1601800673,214000,28.194141387939453,71,11,0,2020-10-04T11:37:53,1601674622.734109,2020-10-03T00:37:02
1601800695,284000,28.838817596435547,133,11,0,2020-10-04T11:38:15,1601674645.078472,2020-10-03T00:37:25
1601800717,353000,27.871801376342773,197,11,0,2020-10-04T11:38:37,1601674664.8662288,2020-10-03T00:37:44
1601800738,42000,29.4835205078125,3,11,0,2020-10-04T11:38:58,1601674687.015765,2020-10-03T00:38:07
1601800760,124000,27.871801376342773,62,11,0,2020-10-04T11:39:20,1601674706.746105,2020-10-03T00:38:26
1601800782,222000,27.871801376342773,126,11,0,2020-10-04T11:39:42,1601674729.218313,2020-10-03T00:38:49
1601800801,541000,27.871801376342773,186,11,0,2020-10-04T11:40:01,1601674751.6578488,2020-10-03T00:39:11
1601800823,658000,27.871801376342773,248,11,0,2020-10-04T11:40:23,1601674773.3511648,2020-10-03T00:39:33
1601800845,744000,27.5494384765625,54,11,0,2020-10-04T11:40:45,1601674792.483641,2020-10-03T00:39:52
1601800865,62000,27.5494384765625,112,11,0,2020-10-04T11:41:05,1601674815.364884,2020-10-03T00:40:15
1601800887,152000,27.5494384765625,173,11,0,2020-10-04T11:41:27,1601674834.327925,2020-10-03T00:40:34
1601800910,628000,27.227100372314453,233,11,0,2020-10-04T11:41:50,1601674856.9687638,2020-10-03T00:40:56
1601800929,948000,27.227100372314453,37,11,0,2020-10-04T11:42:09,1601674876.535873,2020-10-03T00:41:16
1601800952,27000,27.227100372314453,97,11,0,2020-10-04T11:42:32,1601674899.099417,2020-10-03T00:41:39
1601800971,370000,27.227100372314453,153,11,0,2020-10-04T11:42:51,1601674917.665757,2020-10-03T00:41:57
