time_s,time_us,temperature,seq,srcSystem,srcComponent,time_gregorian,log_timestamp,log_timestamp_gregorian
1601800051,464781,23.0625,37,10,3,2020-10-04T11:27:31,1601673982.4241328,2020-10-03T00:26:22
1601800069,497325,23.25,85,10,3,2020-10-04T11:27:49,1601673997.2924368,2020-10-03T00:26:37
1601800086,590284,23.125,129,10,3,2020-10-04T11:28:06,1601674014.826001,2020-10-03T00:26:54
1601800100,635978,23.0,171,10,3,2020-10-04T11:28:20,1601674028.7684119,2020-10-03T00:27:08
1601800119,760254,23.3125,219,10,3,2020-10-04T11:28:39,1601674047.387956,2020-10-03T00:27:27
1601800132,753791,23.3125,6,10,3,2020-10-04T11:28:52,1601674060.7948968,2020-10-03T00:27:40
1601800150,558977,23.4375,55,10,3,2020-10-04T11:29:10,1601674079.045776,2020-10-03T00:27:59
1601800164,340204,23.4375,95,10,3,2020-10-04T11:29:24,1601674092.324061,2020-10-03T00:28:12
1601800182,59163,23.4375,143,10,3,2020-10-04T11:29:42,1601674110.708025,2020-10-03T00:28:30
1601800195,840234,23.5625,187,10,3,2020-10-04T11:29:55,1601674124.084352,2020-10-03T00:28:44
1601800213,559003,23.8125,236,10,3,2020-10-04T11:30:13,1601674142.169101,2020-10-03T00:29:02
1601800226,355867,24.0,22,10,3,2020-10-04T11:30:26,1601674155.768348,2020-10-03T00:29:15
1601800245,59037,24.25,71,10,3,2020-10-04T11:30:45,1601674173.202225,2020-10-03T00:29:33
1601800258,840253,24.4375,114,10,3,2020-10-04T11:30:58,1601674187.8630638,2020-10-03T00:29:47
1601800275,574624,24.5625,165,10,3,2020-10-04T11:31:15,1601674205.738997,2020-10-03T00:30:05
1601800293,293392,24.6875,216,10,3,2020-10-04T11:31:33,1601674223.780016,2020-10-03T00:30:23
1601800306,90364,24.75,3,10,3,2020-10-04T11:31:46,1601674237.213476,2020-10-03T00:30:37
1601800319,871530,24.75,47,10,3,2020-10-04T11:31:59,1601674254.3593318,2020-10-03T00:30:54
1601800338,574864,24.9375,93,10,3,2020-10-04T11:32:18,1601674269.500784,2020-10-03T00:31:09
1601800352,355923,24.9375,138,10,3,2020-10-04T11:32:32,1601674286.4410279,2020-10-03T00:31:26
1601800370,74679,25.0625,182,10,3,2020-10-04T11:32:50,1601674301.471513,2020-10-03T00:31:41
1601800387,793657,25.125,229,10,3,2020-10-04T11:33:07,1601674318.83974,2020-10-03T00:31:58
1601800401,574693,25.1875,16,10,3,2020-10-04T11:33:21,1601674333.5069718,2020-10-03T00:32:13
1601800419,293515,25.3125,67,10,3,2020-10-04T11:33:39,1601674351.4183679,2020-10-03T00:32:31
1601800433,74704,25.4375,111,10,3,2020-10-04T11:33:53,1601674365.149044,2020-10-03T00:32:45
1601800450,793465,25.375,162,10,3,2020-10-04T11:34:10,1601674383.596825,2020-10-03T00:33:03
1601800464,574703,25.3125,204,10,3,2020-10-04T11:34:24,1601674397.392529,2020-10-03T00:33:17
1601800482,293467,25.3125,249,10,3,2020-10-04T11:34:42,1601674414.2941358,2020-10-03T00:33:34
1601800495,90392,25.375,37,10,3,2020-10-04T11:34:55,1601674428.604969,2020-10-03T00:33:48
1601800512,809133,25.25,81,10,3,2020-10-04T11:35:12,1601674445.554693,2020-10-03T00:34:05
1601800526,590371,25.4375,130,10,3,2020-10-04T11:35:26,1601674460.772568,2020-10-03T00:34:20
1601800544,309168,25.5625,178,10,3,2020-10-04T11:35:44,1601674478.2511609,2020-10-03T00:34:38
1601800557,105988,25.6875,221,10,3,2020-10-04T11:35:57,1601674491.6284719,2020-10-03T00:34:51
