time_s,time_us,red_sensor_raw,co_conc,ox_sensor_raw,no2_conc,nh3_sensor_raw,nh3_conc,seq,srcSystem,srcComponent,time_gregorian
4,425500,0.34378325939178467,12.081291198730469,0.4352801740169525,0.07187242060899734,0.013272061012685299,1925.5474853515625,17,13,0,1970-01-01T03:00:04
2,973000,0.40085527300834656,9.973370552062988,0.43628332018852234,0.07203389704227448,0.018470343202352524,1046.44189453125,21,13,0,1970-01-01T03:00:02
3,973000,0.45055821537971497,8.619248390197754,0.44435960054397583,0.07333360612392426,0.02453245408833027,619.8366088867188,26,13,0,1970-01-01T03:00:03
4,973000,0.5075838565826416,7.427736759185791,0.45664694905281067,0.0753098577260971,0.031018834561109543,402.0595397949219,31,13,0,1970-01-01T03:00:04
5,973000,0.578617513179779,6.307295799255371,0.4760076701641083,0.07842107862234116,0.038714535534381866,267.11749267578125,35,13,0,1970-01-01T03:00:05
6,973000,0.6588960886001587,5.362930774688721,0.49698367714881897,0.08178829401731491,0.04674574360251427,188.64608764648438,40,13,0,1970-01-01T03:00:06
7,973000,0.7314337491989136,4.707361221313477,0.5180070400238037,0.085159532725811,0.054971303790807724,139.88270568847656,45,13,0,1970-01-01T03:00:07
8,973000,0.7795073986053467,4.3477582931518555,0.5419456958770752,0.0889940857887268,0.06370334327220917,106.56864166259766,49,13,0,1970-01-01T03:00:08
9,973000,0.8003553748130798,4.206835746765137,0.566656231880188,0.0929478332400322,0.07236659526824951,84.22779846191406,54,13,0,1970-01-01T03:00:09
10,973000,0.8494994044303894,3.9052324295043945,0.5965116024017334,0.09771900624036789,0.08249791711568832,66.1394271850586,59,13,0,1970-01-01T03:00:10
11,973000,0.8578391075134277,3.857893705368042,0.6172718405723572,0.10103315114974976,0.09026855230331421,56.018192291259766,63,13,0,1970-01-01T03:00:11
12,973000,0.9025723934173584,3.620682716369629,0.6425176858901978,0.10505960881710052,0.0993533730506897,46.93403625488281,68,13,0,1970-01-01T03:00:12
13,973000,0.9432376623153687,3.426867961883545,0.6685689687728882,0.10921036452054977,0.10892948508262634,39.60523223876953,73,13,0,1970-01-01T03:00:13
14,973000,0.9790900945663452,3.2709319591522217,0.7010900378227234,0.11438628286123276,0.12064175307750702,32.803367614746094,77,13,0,1970-01-01T03:00:14
15,973000,1.0114192962646484,3.1409316062927246,0.7297887206077576,0.11894883215427399,0.13116833567619324,28.111465454101562,82,13,0,1970-01-01T03:00:15
16,973000,1.0214449167251587,3.102492332458496,0.7527088522911072,0.12258946150541306,0.13919313251972198,25.194202423095703,87,13,0,1970-01-01T03:00:16
17,973000,1.0356650352478027,3.049403667449951,0.7777883410453796,0.12656989693641663,0.14865726232528687,22.314607620239258,91,13,0,1970-01-01T03:00:17
18,973000,1.0616077184677124,2.9566590785980225,0.8059839010238647,0.13104106485843658,0.15993504226207733,19.498157501220703,96,13,0,1970-01-01T03:00:18
19,973000,1.0637143850326538,2.949350595474243,0.8318122029304504,0.13513338565826416,0.16914592683315277,17.58428192138672,101,13,0,1970-01-01T03:00:19
20,973000,1.077521800994873,2.902245283126831,0.8558689951896667,0.138942152261734,0.17815501987934113,15.978739738464355,105,13,0,1970-01-01T03:00:20
21,973000,1.0553160905838013,2.9786808490753174,0.8702688217163086,0.14122070372104645,0.18363647162914276,15.109825134277344,110,13,0,1970-01-01T03:00:21
22,973000,1.0721875429153442,2.9202821254730225,0.8918577432632446,0.14463503658771515,0.19339483976364136,13.733165740966797,115,13,0,1970-01-01T03:00:22
23,973000,1.0305615663528442,3.0682671070098877,0.905939519405365,0.1468609869480133,0.20051415264606476,12.847018241882324,119,13,0,1970-01-01T03:00:23
24,973000,1.0397679805755615,3.034389019012451,0.929277241230011,0.15054816007614136,0.2105644941329956,11.73849105834961,124,13,0,1970-01-01T03:00:24
25,973000,1.0407966375350952,3.0306456089019775,0.9466981887817383,0.1532990038394928,0.21834036707878113,10.978777885437012,129,13,0,1970-01-01T03:00:25
26,973000,1.0553160905838013,2.9786808490753174,0.9616156220436096,0.15565352141857147,0.22464866936206818,10.416707992553711,133,13,0,1970-01-01T03:00:26
27,973000,1.044922113418579,3.0157153606414795,0.9796310663223267,0.15849579870700836,0.2336757481098175,9.68637466430664,138,13,0,1970-01-01T03:00:27
28,973000,1.0732519626617432,2.9166667461395264,1.0077786445617676,0.16293399035930634,0.24650296568870544,8.776862144470215,143,13,0,1970-01-01T03:00:28
29,973000,1.0893629789352417,2.8629157543182373,1.0306810140609741,0.16654285788536072,0.2572850286960602,8.110255241394043,147,13,0,1970-01-01T03:00:29
30,973000,1.098067283630371,2.8346126079559326,1.0499999523162842,0.1695854812860489,0.2672654986381531,7.5602827072143555,152,13,0,1970-01-01T03:00:30
31,973000,1.0915316343307495,2.855816602706909,1.0623929500579834,0.17153656482696533,0.27269893884658813,7.28468656539917,157,13,0,1970-01-01T03:00:31
32,973000,1.075384497642517,2.9094479084014893,1.0802093744277954,0.17434050142765045,0.28081032633781433,6.901181697845459,161,13,0,1970-01-01T03:00:32
315964834,321000,1.1046472787857056,2.813549280166626,1.1058950424194336,0.1783808469772339,0.2942752540111542,6.329843044281006,166,13,0,1980-01-06T03:00:34
315964835,321000,1.0958837270736694,2.841665267944336,1.1233758926391602,0.18112921714782715,0.3031662106513977,5.991578578948975,171,13,0,1980-01-06T03:00:35
315964836,321000,1.024473786354065,3.091045618057251,1.1300064325332642,0.18217140436172485,0.3044181764125824,5.946192264556885,175,13,0,1980-01-06T03:00:36
