time_s,time_us,current,voltage,seq,srcSystem,srcComponent,time_gregorian
0,0,5.605193857299268e-45,5.490287383224633e-42,81,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,8.295686908802917e-42,90,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,1.1101086434381201e-41,99,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,1.3906485959959485e-41,108,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,1.6711885485537768e-41,117,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,1.9517285011116052e-41,126,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,2.2322684536694336e-41,135,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,2.512808406227262e-41,144,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,2.7933483587850903e-41,153,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,3.0738883113429187e-41,162,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,3.354428263900747e-41,171,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,3.6349682164585755e-41,180,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,3.915508169016404e-41,189,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,4.196048121574232e-41,198,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,4.4765880741320606e-41,207,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,4.757128026689889e-41,216,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,5.037667979247717e-41,225,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,5.318207931805546e-41,234,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,5.598747884363374e-41,243,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,5.879287836921203e-41,252,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,6.159827789479031e-41,5,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,6.440367742036859e-41,14,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,6.720907694594688e-41,23,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,7.001447647152516e-41,32,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,7.281987599710344e-41,41,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,7.562527552268173e-41,50,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,7.843067504826001e-41,59,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,8.12360745738383e-41,68,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,8.404147409941658e-41,77,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,8.684687362499486e-41,86,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,8.965227315057315e-41,95,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,9.245767267615143e-41,104,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,9.526307220172971e-41,113,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,9.8068471727308e-41,122,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,1.0087387125288628e-40,131,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,1.0367927077846457e-40,140,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,1.0648467030404285e-40,149,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,1.0929006982962113e-40,158,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,1.1209546935519942e-40,167,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,1.149008688807777e-40,176,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,1.1770626840635598e-40,185,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,1.2051166793193427e-40,194,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,1.219984456025829e-40,203,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,1.2480384512816118e-40,212,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,1.2760924465373947e-40,221,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,1.3041464417931775e-40,230,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,1.3322004370489603e-40,239,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,1.3602544323047432e-40,248,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,1.388308427560526e-40,1,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,1.4163624228163089e-40,10,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,1.4444164180720917e-40,19,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,1.4724704133278745e-40,28,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,1.5005244085836574e-40,37,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,1.5285784038394402e-40,46,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,1.556632399095223e-40,55,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,1.5846863943510059e-40,64,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,1.6127403896067887e-40,73,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,1.6407943848625716e-40,82,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,1.6688483801183544e-40,91,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,1.6969023753741372e-40,100,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,1.72495637062992e-40,109,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,1.753010365885703e-40,118,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,1.7810643611414857e-40,127,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,1.8091183563972686e-40,136,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,1.8371723516530514e-40,145,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,1.8652263469088343e-40,154,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,1.893280342164617e-40,163,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,1.9213343374204e-40,172,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,1.9493883326761828e-40,181,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,1.9774423279319656e-40,190,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,2.0054963231877484e-40,199,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,2.0335503184435313e-40,208,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,2.061604313699314e-40,217,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,2.089658308955097e-40,226,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,2.11771230421088e-40,235,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,2.1457662994666626e-40,244,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,2.1738202947224455e-40,253,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,2.2018742899782283e-40,6,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,2.229928285234011e-40,15,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,2.257982280489794e-40,24,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,2.286036275745577e-40,33,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,2.3140902710013597e-40,42,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,2.3421442662571425e-40,51,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,2.3701982615129253e-40,60,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,2.398252256768708e-40,69,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,2.426306252024491e-40,78,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,2.454360247280274e-40,87,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,2.4824142425360567e-40,96,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,2.5104682377918395e-40,105,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,2.5385222330476224e-40,114,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,2.566576228303405e-40,123,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,2.594630223559188e-40,132,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,2.622684218814971e-40,141,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,2.6507382140707537e-40,150,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,2.6787922093265366e-40,159,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,2.7068462045823194e-40,168,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,2.7349001998381022e-40,177,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,2.762954195093885e-40,186,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,2.791008190349668e-40,195,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,2.8190621856054507e-40,204,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,2.8471161808612336e-40,213,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,2.8751701761170164e-40,222,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,2.9032241713727993e-40,231,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,2.931278166628582e-40,240,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,2.959332161884365e-40,249,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,2.9873861571401478e-40,2,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,3.0154401523959306e-40,11,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,3.0434941476517134e-40,20,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,3.0715481429074963e-40,29,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,3.099602138163279e-40,38,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,3.127656133419062e-40,47,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,3.1557101286748448e-40,56,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,3.1837641239306276e-40,65,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,3.2118181191864105e-40,74,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,3.2398721144421933e-40,83,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,3.267926109697976e-40,92,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,3.295980104953759e-40,101,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,3.324034100209542e-40,110,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,3.3520880954653247e-40,119,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,3.3801420907211075e-40,128,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,3.4081960859768903e-40,137,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,3.436250081232673e-40,146,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,3.464304076488456e-40,155,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,3.492358071744239e-40,164,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,3.5204120670000217e-40,173,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,3.5484660622558045e-40,182,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,3.5765200575115874e-40,191,21,0,1970-01-01T03:00:00
