time_s,time_us,bme_last_error,bme_error_counter,adc_last_error,adc_error_counter,resets_count,reset_cause,seq,srcSystem,srcComponent,time_gregorian
1601800135,713000,0,0,0,0,1,2,241,13,0,2020-10-04T11:28:55
1601800138,713000,0,0,0,0,1,2,255,13,0,2020-10-04T11:28:58
1601800141,828000,0,0,0,0,1,2,13,13,0,2020-10-04T11:29:01
1601800144,828000,0,0,0,0,1,2,27,13,0,2020-10-04T11:29:04
1601800147,828000,0,0,0,0,1,2,41,13,0,2020-10-04T11:29:07
1601800150,828000,0,0,0,0,1,2,55,13,0,2020-10-04T11:29:10
1601800153,828000,0,0,0,0,1,2,69,13,0,2020-10-04T11:29:13
1601800156,828000,0,0,0,0,1,2,83,13,0,2020-10-04T11:29:16
1601800159,828000,0,0,0,0,1,2,97,13,0,2020-10-04T11:29:19
1601800162,828000,0,0,0,0,1,2,111,13,0,2020-10-04T11:29:22
1601800165,828000,0,0,0,0,1,2,125,13,0,2020-10-04T11:29:25
1601800168,828000,0,0,0,0,1,2,139,13,0,2020-10-04T11:29:28
1601800171,445000,0,0,0,0,1,2,153,13,0,2020-10-04T11:29:31
1601800174,445000,0,0,0,0,1,2,167,13,0,2020-10-04T11:29:34
1601800177,445000,0,0,0,0,1,2,181,13,0,2020-10-04T11:29:37
1601800180,445000,0,0,0,0,1,2,195,13,0,2020-10-04T11:29:40
1601800183,445000,0,0,0,0,1,2,209,13,0,2020-10-04T11:29:43
1601800186,445000,0,0,0,0,1,2,223,13,0,2020-10-04T11:29:46
1601800189,445000,0,0,0,0,1,2,237,13,0,2020-10-04T11:29:49
1601800192,445000,0,0,0,0,1,2,251,13,0,2020-10-04T11:29:52
1601800195,445000,0,0,0,0,1,2,9,13,0,2020-10-04T11:29:55
1601800198,445000,0,0,0,0,1,2,23,13,0,2020-10-04T11:29:58
1601800201,65000,0,0,0,0,1,2,37,13,0,2020-10-04T11:30:01
1601800204,65000,0,0,0,0,1,2,51,13,0,2020-10-04T11:30:04
1601800207,65000,0,0,0,0,1,2,65,13,0,2020-10-04T11:30:07
1601800210,65000,0,0,0,0,1,2,79,13,0,2020-10-04T11:30:10
1601800213,65000,0,0,0,0,1,2,93,13,0,2020-10-04T11:30:13
1601800216,65000,0,0,0,0,1,2,107,13,0,2020-10-04T11:30:16
1601800219,65000,0,0,0,0,1,2,121,13,0,2020-10-04T11:30:19
1601800222,65000,0,0,0,0,1,2,135,13,0,2020-10-04T11:30:22
1601800225,65000,0,0,0,0,1,2,149,13,0,2020-10-04T11:30:25
1601800228,65000,0,0,0,0,1,2,163,13,0,2020-10-04T11:30:28
1601800231,65000,0,0,0,0,1,2,177,13,0,2020-10-04T11:30:31
1601800233,685000,0,0,0,0,1,2,191,13,0,2020-10-04T11:30:33
1601800236,685000,0,0,0,0,1,2,205,13,0,2020-10-04T11:30:36
1601800239,685000,0,0,0,0,1,2,219,13,0,2020-10-04T11:30:39
1601800242,685000,0,0,0,0,1,2,233,13,0,2020-10-04T11:30:42
1601800245,685000,0,0,0,0,1,2,247,13,0,2020-10-04T11:30:45
1601800248,685000,0,0,0,0,1,2,5,13,0,2020-10-04T11:30:48
